id,name
1,人工智能
2,模式识别
3,计算机视觉
4,自然语言处理
5,语音识别
6,智能信息检索
7,知识表示
8,数据挖掘与知识发现
9,机器学习
10,深度学习
11,专家系统
12,自动推理
13,自动规划
14,逻辑程序设计
15,神经网络
16,遗传算法
17,机器人学
